Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
Trio SpA,Chile,,,,,,,,,
Química Industrial SPES S.A.,Chile,,,,,,,,,
"Panus Feed Mill Co., Ltd.",Thailand,,,,,,,,,
"Fishmeal Marketing Development Co., Ltd.",Thailand,,,,,,,,,
"Taweelarp Fish Meal Part., Ltd.",Thailand,,,,,,,,,
SIAM PROTEINS COMPANY LIMITED,Thailand,,,,,,,,,
"Klongdan Fish Meal (2530) Co., Ltd.",Thailand,,,,,,,,,
"SIAM PRECIOUS FEEDS CO., LTD.",Thailand,,,,,,,,,
"Aquabest Group Co., Ltd.",Thailand,,,,,,,,,
"Rungsin Pokphand Co., Ltd.",Thailand,,,,,,,,,
"T.C. Union Agrotech Co., Ltd",Thailand,,,,,,,,,
Sanki Shiryo Kogyo Ltd.,Japan,,,,,,,,,
"Starfish Co.,Ltd.",Thailand,,,,,,,,,
Siirisaengarumpee Company Limited,Thailand,,,,,,,,,
"Piyo Bhokabhan Co.,Ltd",Thailand,,,,,,,,,
"Thachin Fishmill Industrial Co., Ltd.",Thailand,,,,,,,,,
Anusorn Mahachai Surimi,Thailand,,,,,,,,,
"Patthriya Thanit Co., Ltd.",Thailand,,,,,,,,,
Apitoon Fish Meal Company Limited,Thailand,,,,,,,,,
"SR Biomarine Co., Ltd.",Thailand,,,,,,,,,
"Sucobma Co., Ltd.",Thailand,,,,,,,,,
Nivat Fishmeal Industry Company Limited,Thailand,,,,,,,,,
"Sermsin Fish Product Co., Ltd",Thailand,,,,,,,,,
"Chareon Sin Fish Meal Co., Ltd.",Thailand,,,,,,,,,
"Betagro Feed Mill Co., Ltd.",Thailand,,,,,,,,,
"TSDP (Thailand) Co., Ltd.",Thailand,,,,,,,,,
"S.K.S. Agro-Marine Co., Ltd.",Thailand,,,,,,,,,
Sahamitr Fish Meal Company Limited,Thailand,,,,,,,,,
"Wiboon Agri Supply Co., Ltd.",Thailand,,,,,,,,,
"Sorasak Fishmeal Co., Ltd.",Thailand,,,,,,,,,
"Sang Thong Saha Farm (STF) Co., Ltd.",Thailand,,,,,,,,,
"Rakyom 2525 Co., Ltd.",Thailand,,,,,,,,,
INVE (THAILAND) LTD.,Thailand,,,,,,,,,
"T R F Fishmeal Co., Ltd.",Thailand,,,,,,,,,
"Pacific Marine Food Products Co.,Ltd",Thailand,,,,,,,,,
"Advance Agro and Technology Part., Ltd.",Thailand,,,,,,,,,
"Anusorn Aquatic Industry Co., Ltd.",Thailand,,,,,,,,,
"Aquatic Deal Co., Ltd.",Thailand,,,,,,,,,
"Bangsaphan Union Fishmeal Co., Ltd. / Company Limited Fishmeal Bridges",Thailand,,,,,,,,,
United Fishing Enterprises Pty Limited,Namibia,,,,,,,,,
"Minh Tâm Fishmeal Co.,Ltd",Vietnam,,,,,,,,,
Minh Tam Fish Meal Processing Company Limited,Vietnam,,,,,,,,,
"Tac Cau Fish Meal Processing Area
",Vietnam,,,,,,,,,
Tan Tien Fish Meal Processing Factory,Vietnam,,,,,,,,,
"Thien Phat Manufacturing and Trading Co., Ltd",Vietnam,,,,,,,,,
Yong Liang Fishmeal Sdn Bhd,Malaysia,,,,,,,,,
Hup Lean Alk Feedmeal Sdn. Bhd.,Malaysia,,,,,,,,,
Amazing Desire Sdn Bhd.,Malaysia,,,,,,,,,
Sin Hong Heng Fishmeal Sdn. Bhd.,Malaysia,,,,,,,,,
Guan Hoe Huat Fishmeal Co. Sdn. Bhd.,Malaysia,,,,,,,,,
